HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q1Opt1.Strongly disagree,Answer.Q1Opt2.Disagree,Answer.Q1Opt3.Somewhat disagree,Answer.Q1Opt4.Somewhat dagree,Answer.Q1Opt5.Agree,Answer.Q1Opt6.Strongly agree,Answer.Q2Opt1.Strongly disagree,Answer.Q2Opt2.Disagree,Answer.Q2Opt3.Somewhat disagree,Answer.Q2Opt4.Somewhat dagree,Answer.Q2Opt5.Agree,Answer.Q2Opt6.Strongly agree,Answer.Q3Opt1.Strongly disagree,Answer.Q3Opt2.Disagree,Answer.Q3Opt3.Somewhat disagree,Answer.Q3Opt4.Somewhat dagree,Answer.Q3Opt5.Agree,Answer.Q3Opt6.Strongly agree,Answer.Q4Opt1.Strongly disagree,Answer.Q4Opt2.Disagree,Answer.Q4Opt3.Somewhat disagree,Answer.Q4Opt4.Somewhat dagree,Answer.Q4Opt5.Agree,Answer.Q4Opt6.Strongly agree,Answer.Q5Opt1.Strongly disagree,Answer.Q5Opt2.Disagree,Answer.Q5Opt3.Somewhat disagree,Answer.Q5Opt4.Somewhat dagree,Answer.Q5Opt5.Agree,Answer.Q5Opt6.Strongly agree,Answer.Q6Opt1.Strongly disagree,Answer.Q6Opt2.Disagree,Answer.Q6Opt3.Somewhat disagree,Answer.Q6Opt4.Somewhat dagree,Answer.Q6Opt5.Agree,Answer.Q6Opt6.Strongly agree,Answer.Q7Opt1.Strongly disagree,Answer.Q7Opt2.Disagree,Answer.Q7Opt3.Somewhat disagree,Answer.Q7Opt4.Somewhat dagree,Answer.Q7Opt5.Agree,Answer.Q7Opt6.Strongly agree,Answer.Q8Opt1.Strongly disagree,Answer.Q8Opt2.Disagree,Answer.Q8Opt3.Somewhat disagree,Answer.Q8Opt4.Somewhat dagree,Answer.Q8Opt5.Agree,Answer.Q8Opt6.Strongly agree,Answer.Q9Opt1.Strongly disagree,Answer.Q9Opt2.Disagree,Answer.Q9Opt3.Somewhat disagree,Answer.Q9Opt4.Somewhat dagree,Answer.Q9Opt5.Agree,Answer.Q9Opt6.Strongly agree,Approve,Reject
3MDWE879UIZLVW38NR7EIR25YNLB95,3XLAOVIRVSA42ATSR5YQSW4XJTNS9R,Evaluate a dialogue,You will read a short dialogue and answer to some questions about the dialogue,"dialogue, evaluation, conversation",$0.40,Wed Mar 15 06:21:04 PDT 2023,10,BatchId:5033810;OriginalHitTemplateId:928390828;,3600,259200,Fri Mar 17 06:21:04 PDT 2023,,,30ZX6P7VFASJZFEEGCAIVC8U2I5J26,A3JS4I3YSKQ160,Submitted,Wed Mar 15 07:21:38 PDT 2023,Wed Mar 15 07:51:34 PDT 2023,Sat Mar 18 07:51:34 PDT 2023,,,,1796,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
3MDWE879UIZLVW38NR7EIR25YNLB95,3XLAOVIRVSA42ATSR5YQSW4XJTNS9R,Evaluate a dialogue,You will read a short dialogue and answer to some questions about the dialogue,"dialogue, evaluation, conversation",$0.40,Wed Mar 15 06:21:04 PDT 2023,10,BatchId:5033810;OriginalHitTemplateId:928390828;,3600,259200,Fri Mar 17 06:21:04 PDT 2023,,,31Z0PCVWUMCKZJ7PYI5HT9CBB0IT71,A2VB4S0F6WMEC4,Submitted,Wed Mar 15 09:23:13 PDT 2023,Wed Mar 15 09:28:10 PDT 2023,Sat Mar 18 09:28:10 PDT 2023,,,,297,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
3MDWE879UIZLVW38NR7EIR25YNLB95,3XLAOVIRVSA42ATSR5YQSW4XJTNS9R,Evaluate a dialogue,You will read a short dialogue and answer to some questions about the dialogue,"dialogue, evaluation, conversation",$0.40,Wed Mar 15 06:21:04 PDT 2023,10,BatchId:5033810;OriginalHitTemplateId:928390828;,3600,259200,Fri Mar 17 06:21:04 PDT 2023,,,32Q90QCQ1UI65FWCRH5VYSHWEAVEK2,A2SXZV7934X9QA,Submitted,Wed Mar 15 06:21:12 PDT 2023,Wed Mar 15 06:29:17 PDT 2023,Sat Mar 18 06:29:17 PDT 2023,,,,485,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
3MDWE879UIZLVW38NR7EIR25YNLB95,3XLAOVIRVSA42ATSR5YQSW4XJTNS9R,Evaluate a dialogue,You will read a short dialogue and answer to some questions about the dialogue,"dialogue, evaluation, conversation",$0.40,Wed Mar 15 06:21:04 PDT 2023,10,BatchId:5033810;OriginalHitTemplateId:928390828;,3600,259200,Fri Mar 17 06:21:04 PDT 2023,,,33L7PJKHCIVOZXC88NXN7986MKOT8O,A15L309C6MVIJG,Submitted,Wed Mar 15 06:21:12 PDT 2023,Wed Mar 15 06:36:59 PDT 2023,Sat Mar 18 06:36:59 PDT 2023,,,,947,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
3MDWE879UIZLVW38NR7EIR25YNLB95,3XLAOVIRVSA42ATSR5YQSW4XJTNS9R,Evaluate a dialogue,You will read a short dialogue and answer to some questions about the dialogue,"dialogue, evaluation, conversation",$0.40,Wed Mar 15 06:21:04 PDT 2023,10,BatchId:5033810;OriginalHitTemplateId:928390828;,3600,259200,Fri Mar 17 06:21:04 PDT 2023,,,34Z02EIMIUA6H875DJK8EU2O3MCT01,A2OQ5LQ3YB4HX1,Submitted,Wed Mar 15 06:46:19 PDT 2023,Wed Mar 15 07:44:17 PDT 2023,Sat Mar 18 07:44:17 PDT 2023,,,,3478,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
3MDWE879UIZLVW38NR7EIR25YNLB95,3XLAOVIRVSA42ATSR5YQSW4XJTNS9R,Evaluate a dialogue,You will read a short dialogue and answer to some questions about the dialogue,"dialogue, evaluation, conversation",$0.40,Wed Mar 15 06:21:04 PDT 2023,10,BatchId:5033810;OriginalHitTemplateId:928390828;,3600,259200,Fri Mar 17 06:21:04 PDT 2023,,,39GHHAVOMHOT2TT1KQT6OR5SMW1J42,A2QMD2VMWIB3HW,Submitted,Wed Mar 15 06:21:12 PDT 2023,Wed Mar 15 06:23:42 PDT 2023,Sat Mar 18 06:23:42 PDT 2023,,,,150,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
3MDWE879UIZLVW38NR7EIR25YNLB95,3XLAOVIRVSA42ATSR5YQSW4XJTNS9R,Evaluate a dialogue,You will read a short dialogue and answer to some questions about the dialogue,"dialogue, evaluation, conversation",$0.40,Wed Mar 15 06:21:04 PDT 2023,10,BatchId:5033810;OriginalHitTemplateId:928390828;,3600,259200,Fri Mar 17 06:21:04 PDT 2023,,,39LNWE0K4WTWOG3AHEZOPUOM8U0IUC,A2QRFO5X5LMBIN,Submitted,Wed Mar 15 07:21:38 PDT 2023,Wed Mar 15 07:52:21 PDT 2023,Sat Mar 18 07:52:21 PDT 2023,,,,1843,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
3MDWE879UIZLVW38NR7EIR25YNLB95,3XLAOVIRVSA42ATSR5YQSW4XJTNS9R,Evaluate a dialogue,You will read a short dialogue and answer to some questions about the dialogue,"dialogue, evaluation, conversation",$0.40,Wed Mar 15 06:21:04 PDT 2023,10,BatchId:5033810;OriginalHitTemplateId:928390828;,3600,259200,Fri Mar 17 06:21:04 PDT 2023,,,39U1BHVTDNO2Y062W62RGS0V6YWT3W,A3L64JWJRBGXOF,Submitted,Wed Mar 15 08:21:43 PDT 2023,Wed Mar 15 08:33:19 PDT 2023,Sat Mar 18 08:33:19 PDT 2023,,,,696,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
3MDWE879UIZLVW38NR7EIR25YNLB95,3XLAOVIRVSA42ATSR5YQSW4XJTNS9R,Evaluate a dialogue,You will read a short dialogue and answer to some questions about the dialogue,"dialogue, evaluation, conversation",$0.40,Wed Mar 15 06:21:04 PDT 2023,10,BatchId:5033810;OriginalHitTemplateId:928390828;,3600,259200,Fri Mar 17 06:21:04 PDT 2023,,,3CFVK00FWNIDC6LF6ZYY142YMCCL6R,AKWLLRJBCUXM1,Submitted,Wed Mar 15 06:21:12 PDT 2023,Wed Mar 15 06:40:03 PDT 2023,Sat Mar 18 06:40:03 PDT 2023,,,,1131,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
3MDWE879UIZLVW38NR7EIR25YNLB95,3XLAOVIRVSA42ATSR5YQSW4XJTNS9R,Evaluate a dialogue,You will read a short dialogue and answer to some questions about the dialogue,"dialogue, evaluation, conversation",$0.40,Wed Mar 15 06:21:04 PDT 2023,10,BatchId:5033810;OriginalHitTemplateId:928390828;,3600,259200,Fri Mar 17 06:21:04 PDT 2023,,,3SBEHTYCWP0D5PNFRFWDSFUZ4IBIYA,A28HF70T9AKBCM,Submitted,Wed Mar 15 07:21:48 PDT 2023,Wed Mar 15 07:24:38 PDT 2023,Sat Mar 18 07:24:38 PDT 2023,,,,170,0% (0/0),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
